h2_0,h2_5,h3_0,h3_5,h4_0,h4_5,h5_0,h5_5,h6_0,h6_5,h7_0,h7_5,h8_0,h8_5,h9_0,h9_5,h10_0,h10_5,h11_0,h11_5,h12_0,h12_5,h13_0,h13_5,h14_0,h14_5,h15_0,h15_5,h16_0,h16_5,h17_0,h17_5,h18_0,h18_5,h19_0,h19_5,h20_0,h20_5,h21_0,h21_5,h22_0,h22_5,h23_0,h23_5,h24_0,h24_5,h25_0,h25_5,h26_0,h26_5,h27_0,h27_5,h28_0,h28_5,h29_0,h29_5,h30_0,h30_5,h31_0,h31_5,h32_0,h32_5,h33_0,h33_5,h34_0,h34_5,h35_0,h35_5,h36_0,h36_5,h37_0,h37_5,h38_0,h38_5,h39_0,h39_5,h40_0
-6.171097378,-6.003806646,-5.896308758,-5.849043047,-5.861128221,-5.92830177,-6.040113276,-6.176504532,-6.304589273,-6.377853985,-6.34155259,-6.147041499,-5.770971024,-5.2268517,-4.559364704,-3.826490051,-3.082743625,-2.370929335,-1.721321498,-1.154349006,-0.683957766,-0.320470841,-0.072726237,0.050355079,0.038523881,-0.120978894,-0.444821655,-0.955568733,-1.68484227,-2.678732168,-4.007549027,-5.783873823,-8.192647329,-11.48305119,-15.10723829,-14.39215655,-10.46932485,-7.211984403,-4.766749443,-2.877084458,-1.367660734,-0.128880108,0.910557265,1.799028978,2.570026008,3.246446798,3.843060657,4.368132733,4.824707099,5.211754885,5.525227182,5.758975487,5.905490567,5.956436054,5.902991978,5.736065191,5.446475431,5.02531767,4.464901406,3.761117426,2.919046611,1.965380282,0.972773049,0.09458465,-0.428865805,-0.380902801,0.2428564,1.233757971,2.358223783,3.468622042,4.497020122,5.420221538,6.235221578,6.946710537,7.561509668,8.086359933,8.52723711
-0.414096516,-0.26844678,-0.189320197,-0.177320894,-0.231257392,-0.346266747,-0.511145231,-0.704913212,-0.893323827,-1.027543655,-1.049130981,-0.904844943,-0.567647518,-0.050262835,0.600278871,1.322128169,2.057135023,2.759889246,3.398534979,3.951807997,4.405413277,4.748992652,4.973882135,5.071472913,5.031904991,4.842819556,4.487874863,3.944631556,3.181154857,2.150075503,0.777419018,-1.05997559,-3.582318781,-7.186054498,-11.88181959,-11.38746723,-6.616351708,-3.054657009,-0.503736434,1.420729372,2.933722429,4.159898046,5.177471809,6.038592764,6.779134898,7.423661551,7.988153847,8.481751197,8.908108217,9.26661701,9.553542818,9.763029404,9.887917608,9.920352211,9.852199385,9.675345619,9.382004905,8.965251825,8.420180063,7.746458869,6.953760955,6.07252986,5.17252112,4.384575534,3.896479121,3.872760828,4.330256059,5.125927446,6.075045243,7.043112667,7.95772916,8.787679593,9.523175753,10.16404666,10.71378955,11.17688812,11.55778579
2.689813476,2.799183898,2.833719035,2.792419061,2.676458563,2.490872389,2.247126261,1.966704008,1.68520327,1.454772235,1.340182407,1.403408815,1.679114755,2.156752519,2.785157252,3.495230769,4.222086304,4.915678123,5.541529806,6.077142093,6.507814239,6.823260871,7.015174116,7.0754737,6.994924198,6.761815947,6.360392951,5.768603055,4.954443705,3.869427119,2.43574302,0.518035708,-2.14875759,-6.187327506,-13.37579585,-14.20113181,-6.688034123,-2.517725345,0.213844753,2.189939962,3.701242999,4.899043123,5.873475251,6.683208541,7.368304259,7.956280017,8.465234643,8.905748731,9.282363584,9.594960821,9.840093873,10.01220015,10.10461025,10.11032038,10.02256165,9.835262234,9.543555839,9.14456277,8.638786497,8.032650791,7.342904758,6.603534424,5.874406229,5.246149671,4.828048927,4.707654062,4.901745546,5.34729466,5.942858333,6.595455223,7.240610937,7.840698549,8.37634368,8.838696428,9.224359908,9.532555149,9.763756003
4.611293168,4.665523387,4.637451961,4.5252677,4.329297901,4.053540058,3.708206631,3.313646275,2.90551484,2.539336701,2.289072771,2.231662367,2.416558622,2.838803726,3.440767396,4.140739176,4.862297384,5.547959234,6.159521787,6.673109281,7.073887462,7.352033135,7.499978668,7.510527561,7.37542848,7.084060547,6.621901766,5.968369801,5.093354723,3.951079577,2.468148472,0.517486009,-2.147923073,-6.10662032,-13.2044624,-17.32306158,-8.411186181,-3.968850415,-1.201388191,0.730947298,2.161028643,3.256850363,4.117509279,4.807861985,5.372931473,5.844317469,6.243224548,6.58221403,6.866711917,7.096673772,7.268399977,7.376302554,7.414424717,7.377623248,7.262446667,7.067822159,6.795687928,6.451680822,6.045911543,5.593714745,5.116030965,4.638798877,4.190600885,3.798191638,3.480714284,3.244849053,3.083402027,2.978084416,2.904774223,2.838580739,2.756975662,2.640766917,2.473598117,2.240811861,1.928287884,1.521575855,1.005424805
5.80849835,5.787233172,5.67789063,5.477233895,5.183526576,4.797877854,4.326723523,3.786133138,3.208520132,2.650894153,2.199176999,1.955830608,2.000497028,2.343154928,2.916044856,3.613760292,4.338693755,5.020926898,5.617112781,6.102363544,6.46269422,6.689814999,6.777900472,6.721610092,6.514786696,6.149451845,5.614846398,4.896339358,3.974091766,2.821530513,1.404360556,-0.31641241,-2.362915645,-4.645065903,-6.662574841,-7.325034205,-6.355817034,-4.81138362,-3.401452056,-2.295242914,-1.480785783,-0.908709312,-0.527598557,-0.290879758,-0.158097924,-0.096123027,-0.080955222,-0.099130743,-0.147382126,-0.229874712,-0.353435638,-0.521875023,-0.730518248,-0.961994508,-1.184882314,-1.357834301,-1.441322555,-1.4144364,-1.287258235,-1.099562061,-0.907266742,-0.766908934,-0.725957879,-0.819476107,-1.069582017,-1.483630134,-2.047038315,-2.706236643,-3.34073275,-3.746393926,-3.697998279,-3.112182964,-2.121763151,-0.944017787,0.257664666,1.399346499,2.44903516
6.490292913,6.375403498,6.167137532,5.859998724,5.44867123,4.928960995,4.299857209,3.567758969,2.754557624,1.911272142,1.134933655,0.571753693,0.371240876,0.590278387,1.144362879,1.873122223,2.632055547,3.327734663,3.910056393,4.355260076,4.653249079,4.800290464,4.795295023,4.638163444,4.329378226,3.870558643,3.266099794,2.526365376,1.673133777,0.747596213,-0.181302564,-1.016881254,-1.65823718,-2.049486849,-2.217778663,-2.257609705,-2.279130156,-2.368779993,-2.576657649,-2.91653569,-3.364807351,-3.854661737,-4.274285496,-4.492122518,-4.422888656,-4.087822474,-3.598123135,-3.083287708,-2.64038183,-2.324347091,-2.157035416,-2.137312581,-2.247428905,-2.457031658,-2.728205038,-3.024969753,-3.328015415,-3.650140437,-4.045215689,-4.609707069,-5.487915187,-6.905444532,-9.295945235,-13.86439195,-28.47109327,-14.77149387,-7.566942399,-3.340149802,-0.325415206,2.002566139,3.874158034,5.412987352,6.694678584,7.770075484,8.675868639,9.439930531,10.08413725
6.775152254,6.552046956,6.228009456,5.794114541,5.239610802,4.551935023,3.717337015,2.723111895,1.563940778,0.258235084,-1.114418633,-2.350163776,-3.103112556,-3.101326602,-2.456357718,-1.53098076,-0.614183107,0.15430733,0.725032865,1.08763907,1.246451391,1.211464913,0.996774166,0.623324142,0.125295539,-0.440433644,-0.985841521,-1.396978941,-1.569809937,-1.467567796,-1.146221557,-0.717170775,-0.290148934,0.057004195,0.281556443,0.3703558,0.336963863,0.224413191,0.110398411,0.103555802,0.313403851,0.795156548,1.514765914,2.374338724,3.267680462,4.115137504,4.869036549,5.505809222,6.016873785,6.4020459,6.665442813,6.813006101,6.850888353,6.784217007,6.615969993,6.345863367,5.969284387,5.476436582,4.852083172,4.07685904,3.132899367,2.021737461,0.814915079,-0.234342018,-0.611248569,0.088241833,1.597520553,3.35960347,5.04517489,6.542718387,7.834860974,8.934654969,9.862468893,10.63869329,11.2818012,11.80808556,12.23183846
6.73630067,6.391238935,5.932406335,5.345900632,4.613368487,3.710253964,2.603039895,1.24473719,-0.432590736,-2.529392176,-5.187777591,-8.515283638,-11.78657386,-11.85000399,-9.301567085,-7.020246754,-5.461595772,-4.518119568,-4.085728856,-4.109225258,-4.57307187,-5.488857481,-6.865225997,-8.581855599,-9.967620827,-9.655292183,-7.682860079,-5.403217077,-3.439050629,-1.880237297,-0.688881939,0.186700946,0.792149056,1.168772116,1.360870148,1.425729749,1.444186944,1.524219837,1.782489753,2.297191833,3.064054458,4.003591502,5.011412931,6.000782704,6.915712174,7.726068051,8.418640625,8.989975051,9.441774796,9.778207072,10.00436489,10.12537331,10.14584307,10.06952547,9.899128292,9.636340599,9.282211836,8.838167788,8.308162813,7.702784136,7.046396984,6.387849049,5.811450247,5.434933219,5.372934236,5.670731301,6.269822699,7.048238839,7.886306375,8.699950498,9.441081776,10.08659232,10.62816151,11.06558015,11.40292481,11.64649385,11.80372308
6.413222885,5.927523916,5.308062216,4.53458879,3.579828829,2.405961288,0.958541506,-0.844418676,-3.132111108,-6.108497317,-9.978547368,-13.50889191,-12.13126632,-8.911976365,-6.550072217,-5.017681131,-4.109372767,-3.701790475,-3.733836726,-4.183380176,-5.047668466,-6.303537753,-7.777379906,-8.830843009,-8.459741419,-6.764435653,-4.754861654,-2.974683367,-1.54554345,-0.457967535,0.323065035,0.833571005,1.109651927,1.194954943,1.153647641,1.0862332,1.135182285,1.451906906,2.116952723,3.08437427,4.222796906,5.399128644,6.522167584,7.542678107,8.43925239,9.205891635,9.844271589,10.3595263,10.75809605,11.04668159,11.23177496,11.31950029,11.31564685,11.22586368,11.05604227,10.81295419,10.50523485,10.1447916,9.748608987,9.340628144,8.952789418,8.623563012,8.392109685,8.288025994,8.32066562,8.474687065,8.715161057,8.998603961,9.283292703,9.535068077,9.728812335,9.847479364,9.880319896,9.821185123,9.667227871,9.418045838,9.075221784
5.814329353,5.159451964,4.344704117,3.3451193,2.13117133,0.672750271,-1.042535032,-2.943243196,-4.692585039,-5.529559766,-4.976377053,-3.627728303,-2.207831223,-1.01024418,-0.094021208,0.552760897,0.957141856,1.147286071,1.151533293,1.001909237,0.7396267,0.420756048,0.117934111,-0.08917396,-0.139059293,-0.017849795,0.231947019,0.532382053,0.80068031,0.968384559,0.98654324,0.825230202,0.476273152,-0.032175577,-0.599557999,-1.001736203,-0.912661279,-0.136569601,1.17604019,2.703914311,4.20949865,5.581343256,6.783054035,7.811379251,8.675403345,9.387794641,9.961452774,10.40839838,10.7395712,10.96499768,11.09412144,11.13622767,11.10094768,10.99884232,10.84204204,10.64486222,10.42420627,10.19943258,9.991267074,9.819449238,9.69926938,9.637920142,9.632135501,9.668272855,9.72480488,9.776016741,9.795420007,9.757962076,9.640867199,9.423392472,9.085857445,8.608165797,7.967815585,7.137115581,6.078888341,4.739031236,3.031989123
